INCP Total Personal Income (weekly),Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)",Not stated,Not applicable,Total
"2000, NSW",204,3297,502,1112,1978,2201,1915,1599,1638,1676,1028,977,677,1456,1796,4115,1251,27411
"2006, NSW",9,267,275,291,98,47,31,5,3,11,9,9,3,4,11,156,15,1261
"2007, NSW",110,2300,325,494,536,525,494,429,442,483,278,255,180,342,196,1072,375,8846
"2008, NSW",104,2675,353,525,591,609,639,604,676,740,547,533,405,588,359,1359,407,11712
"2009, NSW",71,969,227,391,536,520,578,644,831,938,761,702,587,1347,1271,1254,1187,12813
"2010, NSW",96,1207,327,918,1317,1408,1212,1203,1662,2113,1837,1817,1374,2999,2769,4114,1347,27733
"2011, NSW",65,751,232,453,642,841,787,916,1191,1688,1394,1442,1096,2151,2085,4677,788,21199
"2015, NSW",31,420,156,247,291,305,400,432,663,895,875,828,625,1128,690,823,1110,9922
"2016, NSW",43,726,222,688,895,849,551,618,801,1000,937,868,616,1163,747,1572,911,13213
"2017, NSW",155,3564,511,1133,1339,1175,946,1004,1414,1779,1518,1489,1080,2002,954,2791,1829,24694
"2018, NSW",106,1808,490,895,1167,1119,935,1001,1131,1319,840,731,532,792,330,1226,2597,17028
"2019, NSW",35,721,253,376,510,516,509,575,720,817,684,593,460,676,283,871,2229,10840
"2020, NSW",78,1605,339,609,767,777,796,894,1100,1257,946,763,604,895,364,1009,1963,14771
"2021, NSW",59,733,281,340,427,480,604,542,754,1074,1031,973,742,1543,2200,1516,1998,15312
"2022, NSW",43,723,288,391,484,542,514,618,692,849,707,686,508,975,1169,1470,1838,12510
"2023, NSW",39,894,276,270,249,260,335,367,466,641,591,566,460,930,1576,854,1940,10719
"2024, NSW",42,621,254,301,368,413,417,444,597,666,566,580,447,910,1211,1209,2029,11073
"2025, NSW",24,427,153,166,220,248,266,254,378,436,389,425,339,655,1142,805,1092,7407
"2026, NSW",106,1446,607,851,1131,1289,1308,1531,1899,2347,2008,1942,1406,2980,3084,3890,4672,32489
"2027, NSW",21,449,120,175,196,198,253,289,352,526,459,478,401,834,1431,1101,900,8191
"2028, NSW",13,268,86,102,123,159,164,148,257,289,267,300,243,513,669,498,532,4643
"2029, NSW",36,682,242,262,282,383,386,433,534,698,526,584,407,771,1125,808,1795,9957
"2030, NSW",59,1357,385,423,442,412,509,523,637,784,604,606,517,980,1949,900,2992,14080
"2031, NSW",98,2265,901,1091,1269,1450,1453,1440,1892,2509,2346,2243,1647,2970,2688,2972,5509,34729
"2032, NSW",167,3405,585,948,1074,998,971,797,863,1021,688,609,446,670,485,1064,1893,16692
"2033, NSW",61,1525,301,485,527,553,699,586,728,841,638,540,416,703,573,933,1458,11573
"2034, NSW",49,1003,475,693,807,841,821,833,1132,1517,1333,1268,1059,1880,1774,1971,3256,20716
